,Star_Name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.1769e+30,1189647000.0,196.971799550325
2,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
3,Arcturus,37,2.1879e+30,18088200000.0,0.44629597278924754
4,Vega,25,4.3758e+30,1878390000.0000002,82.76984296448046
5,Capella,43,5.1714e+30,8348400000.0,4.952082081908975
6,Procyon,11.4,2.9835e+30,1321830000.0,113.9622554541166
7,Altair,17,3.5802e+30,1252260000.0,152.37175636642996
8,Aldebaran,65,2.9835e+30,30610800000.0,0.21250193294905007
9,Pollux,34,3.7790999999999997e+30,6122160000.000001,6.729227876719916
10,Fomalhaut,25,3.7790999999999997e+30,1252260000.0,160.8368539423427
11,Regulus,77,7.558199999999999e+30,2156670000.0,108.45190567600218
12,Castor,52,5.5692e+30,1669680000.0,133.3252868206262
13,Gacrux,88,2.9835e+30,58438800000.0,0.058305519017766566
14,Alioth,81,5.7681e+30,2921940000.0,45.08960137373948
15,Menkalinan,81,4.75371e+30,1927089000.0,85.43097080483021
16,Alsephina[2],80,4.7735999999999997e+30,2017530000.0,78.26943965552645
17,Tau Ceti,11.9,1.557387e+30,621260100.0,269.29967110479345
18,Delta Pavonis,19.92,1.9710989999999998e+30,848754000.0,182.61269753187165
19,Ran,10.48,1.6309799999999997e+30,514818000.0,410.70254272616984
20,Titawin,44.25,2.52603e+30,1029636000.0,159.02202111653529
21,61 Cygni,11.41,1.3923e+30,462640500.0,434.1419255394917
22,54 Piscium,36.1,1.51164e+30,653958000.0,235.9037604224493
23,Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,632.685493563031
24,Barnard's Star,5.98,2.7846e+29,139140000.0,959.9420651085089
25,Proxima Centauri,4.25,2.3868e+29,104355000.0,1462.7688611177277
26,Gliese 1214,47.5,3.1824e+29,146097000.0,995.0808579032163
27,VB 10,18.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
28,TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,1695.1357895765334
29,2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,2595.841171196618
30,HN Pegasi,58.3,5.3162914895999995e+28,72207141.291,680.5102711028314
31,DT Virginis,37.55,2.3733444149999997e+28,78641441.00999999,256.12032451003483
32,SDSS J000013.54+255418.6Â [de],46.1,1.879688538e+27,143270407076.4,6.1116588733261395e-06
33,2MASS 0036+1821,28.6,1.7847555569999998e+27,142984438200.0,5.826226959986048e-06
34,2MASS J02431371âˆ’2453298,35,1.879688538e+27,143127422638.2,6.123876079420017e-06
35,Teegarden's star,12.578,2.411318403e+27,143198914857.30002,7.848041828225569e-06
36,DEN 0255-4700,16.2,1.84171455e+27,143413391514.59998,5.976254844717223e-06
37,2MASS J03185403-3421292Â [de],45,1.84171455e+27,143556375952.80002,5.964355883318445e-06
38,2MASS J03264225-2102057Â [de],80,2.4682773959999998e+27,143198914857.30002,8.033424463302488e-06
39,2MASS J03284265+2302051Â [de],98,1.860701544e+27,142984438200.0,6.074148057767032e-06
40,2MASP J0345432+254023,88,1.9936085129999998e+27,142769961542.7,6.527582910281022e-06
41,2MASS J03552337+1133437,29.8,2.506251384e+27,143413391514.59998,8.132637588006916e-06
42,2MASS J04151954âˆ’0935066,18.6,1.803742551e+27,143127422638.2,5.876450081061749e-06
43,2MASS J04285096-2253227Â [de],85,2.069556489e+27,143198914857.30002,6.735720123622202e-06
